Question,related_sentences
Why was the National Cricket Academy opened?,"Chinnaswamy Stadium in Bangalore regularly hosts international Cricket matches and is also the home of the National Cricket Academy, which was opened in 2000 to nurture potential international players. Many cricketers have represented India and in one international match held in the 1990s; players from Karnataka composed the majority of the national team."
The northern part of which region in Karnataka is the second-largest arid region in India?,"Karnataka (; ISO: Karnāṭaka, Kannada pronunciation: [kɐˈɾnäːʈɐkɐ], also known as Karunāḍu) is a state in the southwestern region of India. It is the sixth-largest Indian state by area."
Is 52% of the population of Karnataka female?,"The districts are further divided into sub-districts (talukas), which are governed by sub-commissioners (talukdars); sub-divisions comprise blocks (tehsils/hobli), which are governed by block development officers (tehsildars), which contain village councils (panchayats), town municipal councils (purasabhe), city municipal councils (nagarasabhe), and city municipal corporations (mahanagara palike). Demographics According to the 2011 census of India, the total population of Karnataka was 61,095,297 of which 30,966,657 (50.7%) were male and 30,128,640 (49.3%) were female, or 1000 males for every 973 females. This represents a 15.60% increase over the population in 2001."
Is Karnataka a state in the northeastern region of India?,"Karnataka (; ISO: Karnāṭaka, Kannada pronunciation: [kɐˈɾnäːʈɐkɐ], also known as Karunāḍu) is a state in the southwestern region of India. It was formed on 1 November 1956, with the passage of the States Reorganisation Act. Originally known as the State of Mysore , it was renamed Karnataka in 1973."
Which sport has Kodagu contributed to?,"Sports Karnataka's smallest district, Kodagu, is a major contributor to Indian field hockey, producing numerous players who have represented India at the international level."
Is Karnataka ranked as the most popular destination for tourism among states of India?,"There is an array of ancient sculptured temples, modern cities, scenic hill ranges, forests and beaches. Karnataka has been ranked as the fourth most popular destination for tourism among the states of India. Karnataka has the second highest number of nationally protected monuments in India, second only to Uttar Pradesh, in addition to 752 monuments protected by the State Directorate of Archaeology and Museums."
Is the capital of the state originally known as the State of Mysore Bangalore?,"It was formed on 1 November 1956, with the passage of the States Reorganisation Act. Originally known as the State of Mysore , it was renamed Karnataka in 1973. Its capital and largest city is Bangalore. Karnataka is bordered by the Arabian Sea to the west, Goa to the northwest, Maharashtra to the north, Telangana to the northeast, Andhra Pradesh to the east, Tamil Nadu to the southeast, and Kerala to the southwest."
Who ruled Karnataka directly before the Satavahanas did?,"The decline of Satavahana power led to the rise of the earliest native kingdoms, the Kadambas and the Western Gangas, marking the region's emergence as an independent political entity. The Kadamba Dynasty, founded by Mayurasharma, had its capital at Banavasi; the Western Ganga Dynasty was formed with Talakad as its capital. These were also the first kingdoms to use Kannada in administration, as evidenced by the Halmidi inscription and a fifth-century copper coin discovered at Banavasi."
How many airports in Karnataka run international operations?,"Air transport in Karnataka, as in the rest of the country, is still a fledgling but fast expanding sector. Karnataka has airports at Bangalore, Mangalore, Belgaum, Hubli, Hampi, Bellary, Gulbarga, and Mysore with international operations from Bangalore and Mangalore airports. Shimoga and Bijapur airports are being built under the UDAN Scheme."
Who did Kittur rebel against?,"To contain European expansion in South India, Haidar Ali and later Tipu Sultan fought four significant Anglo-Mysore Wars, the last of which resulted in Tippu Sultan's death and the incorporation of Mysore into the British Raj in 1799. The Kingdom of Mysore was restored to the Wodeyars and Mysore remained a princely state under the British Raj. As the ""doctrine of lapse"" gave way to dissent and resistance from princely states across the country, Kittur Chennamma, Sangolli Rayanna and others spearheaded rebellions in Karnataka in 1830, nearly three decades before the Indian Rebellion of 1857. However, Kitturu was taken over by the British East India Company even before the doctrine was officially articulated by Lord Dalhousie in 1848."
Does Karnataka have multiple native ethnicities?,"Culture The diverse linguistic and religious ethnicities that are native to Karnataka, combined with their long histories, have contributed immensely to the varied cultural heritage of the state. Apart from Kannadigas, Karnataka is home to Tuluvas, Kodavas and Konkanis."
Is human-wildlife conflict threatening animals in Karnataka?,"Some species of trees found in Karnataka are Callophyllum tomentosa, Callophyllum wightianum, Garcina cambogia, Garcina morealla, Alstonia scholaris, Flacourtia montana, Artocarpus hirsutus, Artocarpus lacoocha, Cinnamomum zeylanicum, Grewia tilaefolia, Santalum album, Shorea talura, Emblica officinalis, Vitex altissima and Wrightia tinctoria. Wildlife in Karnataka is threatened by poaching, habitat destruction, human-wildlife conflict and pollution."
Is Karnataka the worse Indian state at cricket?,Karnataka has been referred to as the cradle of Indian swimming because of its high standards in comparison to other states. One of the most popular sports in Karnataka is cricket.
What is the language of Muslims in Karnataka?,"Takk is the language of Kodagu. Tulu, Konkani and Kodava are other minor native languages that share a long history in the state. Some of the regional languages in Karnataka are Tulu, Kodava, Konkani and Beary. Kannada features a rich and ancient body of literature including religious and secular genre, covering topics as diverse as Jainism (such as Puranas), Lingayatism (such as Vachanas), Vaishnavism (such as Haridasa Sahitya) and modern literature. Evidence from edicts during the time of Ashoka (reigned 274–232 BCE) suggest that Buddhist literature influenced the Kannada script and its literature."
"According to the 2011 census of India, were there more male or female in Karnataka?","Demographics According to the 2011 census of India, the total population of Karnataka was 61,095,297 of which 30,966,657 (50.7%) were male and 30,128,640 (49.3%) were female, or 1000 males for every 973 females. This represents a 15.60% increase over the population in 2001."
Which four seasons does Karnataka experience?,"Climate Karnataka experiences four seasons. The winter in January and February is followed by summer between March and May, the monsoon season between June and September and the post-monsoon season from October till December."
Is cricket popular in Karnataka?,"One of the most popular sports in Karnataka is cricket. The state cricket team has won the Ranji Trophy seven times, second only to Mumbai in terms of success. Chinnaswamy Stadium in Bangalore regularly hosts international Cricket matches and is also the home of the National Cricket Academy, which was opened in 2000 to nurture potential international players."
What industry contributes the most to the low unemployment rate of Karanataka?,"Karnataka's contribution to India's GDP in the year 2014–15 was 7.54%. In an employment survey conducted for the year 2013–2014, the unemployment rate in Karnataka was 1.8% compared to the national rate of 4.9%."
Which state cricket team won the Ranji Trophy most number of times?,"The state cricket team has won the Ranji Trophy seven times, second only to Mumbai in terms of success. Chinnaswamy Stadium in Bangalore regularly hosts international Cricket matches and is also the home of the National Cricket Academy, which was opened in 2000 to nurture potential international players."
Which Indian state is shravanabelagola located in?,"Karnataka is bordered by the Arabian Sea to the west, Goa to the northwest, Maharashtra to the north, Telangana to the northeast, Andhra Pradesh to the east, Tamil Nadu to the southeast, and Kerala to the southwest."
How many districts are in the sixth-largest Indian state by area?,"It is the sixth-largest Indian state by area. With 61,130,704 inhabitants at the 2011 census, Karnataka is the eighth-largest state by population, comprising 31 districts."
Is Karnataka meteorologically divided into two zones?,"The winter in January and February is followed by summer between March and May, the monsoon season between June and September and the post-monsoon season from October till December. Meteorologically, Karnataka is divided into three zones – coastal, north interior and south interior. Of these, the coastal zone receives the heaviest rainfall with an average rainfall of about 3,638.5 mm (143 in) per annum, far in excess of the state average of 1,139 mm (45 in)."
Is Gokaka India's tallest waterfall?,"The monolith of Gomateshwara Bahubali at Shravanabelagola is the tallest sculpted monolith in the world, attracting tens of thousands of pilgrims during the Mahamastakabhisheka festival. The waterfalls of Karnataka and Kudremukh are considered by some to be among the ""1001 Natural Wonders of the World"". Jog Falls is India's tallest single-tiered waterfall with Gokak Falls, Unchalli Falls, Magod Falls, Abbey Falls and Shivanasamudra Falls among other popular waterfalls."
Is the economy of Karnataka in the top three among Indian states?,"Karnataka has contributed significantly to both forms of Indian classical music, the Carnatic and Hindustani traditions. The economy of Karnataka is the sixth-largest of any Indian state with ₹16.65 trillion (US$210 billion) in gross domestic product and a per capita GDP of ₹226,000 (US$2,800)."
Which colonizer nation built The Shettihalli Rosary Church in India?,"Several Hindu temples including the famous Udupi Sri Krishna Matha, the Marikamba Temple at Sirsi, the Kollur Mookambika Temple, the Sri Manjunatha Temple at Dharmasthala, Kukke Subramanya Temple, Janardhana and Mahakali Temple at Ambalpadi, Sharadamba Temple at Shringeri attract pilgrims from all over India. Jainism had a stronghold in Karnataka in the early medieval period with Shravanabelagola as its most important centre. The Shettihalli Rosary Church near Shettihalli, an example of French colonial Gothic architecture, is a rare example of a Christian ruin, is a popular tourist site. Karnataka has become a center of health care tourism and has the highest number of approved health systems and alternative therapies in India."
In what year was the act that incorporated Hyderabad and Bombay into the Mysore state passed?,"In 1950, Mysore became an Indian state of the same name; the former Maharaja served as its Rajpramukh (head of state) until 1975. Following the long-standing demand of the Ekikarana Movement, Kodagu- and Kannada-speaking regions from the adjoining states of Madras, Hyderabad and Bombay were incorporated into the Mysore state, under the States Reorganisation Act of 1956. The thus expanded state was renamed Karnataka, seventeen years later, on 1 November 1973."
What Indian state has the most number of biotechnology firms?,"Many of them, including two of India's biggest software firms, Infosys and Wipro, are also headquartered in the state. Karnataka also leads the nation in biotechnology. It is home to India's largest biocluster, with 60% of the country's biotechnology firms being based here."
Were industrial visionaries important in the development of Karnataka's manufacturing and industrial base?,"The thus expanded state was renamed Karnataka, seventeen years later, on 1 November 1973. In the early 1900s through the post-independence era, industrial visionaries such as Sir Mokshagundam Visvesvarayya, played an important role in the development of Karnataka's strong manufacturing and industrial base."
Is Karnataka home to Kannadigas?,"Apart from Kannadigas, Karnataka is home to Tuluvas, Kodavas and Konkanis. Minor populations of Tibetan Buddhists and tribes like the Soligas, Yeravas, Todas and Siddhis also live in Karnataka."
Which state has the tallest single-tiered waterfall in India?,"The monolith of Gomateshwara Bahubali at Shravanabelagola is the tallest sculpted monolith in the world, attracting tens of thousands of pilgrims during the Mahamastakabhisheka festival. The waterfalls of Karnataka and Kudremukh are considered by some to be among the ""1001 Natural Wonders of the World"". Jog Falls is India's tallest single-tiered waterfall with Gokak Falls, Unchalli Falls, Magod Falls, Abbey Falls and Shivanasamudra Falls among other popular waterfalls."
Does Karnataka's GSDP increase for the year 2014-2015?,Economy Karnataka had an estimated GSDP (Gross State Domestic Product) of about US$115.86 billion in the 2014–15 fiscal year. The state registered a GSDP growth rate of 7% for the year 2014–2015. Karnataka's contribution to India's GDP in the year 2014–15 was 7.54%.
Is Kodagu the largest district in Karnataka?,"Karnataka (; ISO: Karnāṭaka, Kannada pronunciation: [kɐˈɾnäːʈɐkɐ], also known as Karunāḍu) is a state in the southwestern region of India. It was formed on 1 November 1956, with the passage of the States Reorganisation Act. Karnataka is bordered by the Arabian Sea to the west, Goa to the northwest, Maharashtra to the north, Telangana to the northeast, Andhra Pradesh to the east, Tamil Nadu to the southeast, and Kerala to the southwest."
What is the official language of the sixth-largest Indian state by area?,"It is the sixth-largest Indian state by area. With 61,130,704 inhabitants at the 2011 census, Karnataka is the eighth-largest state by population, comprising 31 districts. Kannada, one of the classical languages of India, is the most widely spoken and official language of the state."
Which Indian state includes the Kudalasangama?,"Several Hindu temples including the famous Udupi Sri Krishna Matha, the Marikamba Temple at Sirsi, the Kollur Mookambika Temple, the Sri Manjunatha Temple at Dharmasthala, Kukke Subramanya Temple, Janardhana and Mahakali Temple at Ambalpadi, Sharadamba Temple at Shringeri attract pilgrims from all over India. Most of the holy sites of Lingayatism, like Kudalasangama and Basavana Bagewadi, are found in northern parts of the state. Shravanabelagola, Mudabidri and Karkala are famous for Jain history and monuments."
Which state has the highest number of nationally protected monuments in India?,"Karnataka has been ranked as the fourth most popular destination for tourism among the states of India. Karnataka has the second highest number of nationally protected monuments in India, second only to Uttar Pradesh, in addition to 752 monuments protected by the State Directorate of Archaeology and Museums. Another 25,000 monuments are yet to receive protection."
Do more people speak Urdu or Kannada in Karnataka?,"Language Kannada is the official language of the state of Karnataka, as the native language of 66.46% of its population as of 2011 and is one of the classical languages of India. Urdu is the second largest language, spoken by 10.83% of the population, and is the language of Muslims outside the coastal region. Telugu (5.84%) is a major language in areas bordering Andhra Pradesh and Karnataka as well as Bangalore, while Tamil (3.45%) is a major language of Bangalore and in the Kolar district."
Is Kannada an unofficial language of Karnataka?,"Ugadi (Kannada New Year), Makara Sankranti (the harvest festival), Ganesh Chaturthi, Gowri Habba, Ram Navami, Nagapanchami, Basava Jayanthi, Deepavali, and Balipadyami are the other major festivals of Karnataka. Language Kannada is the official language of the state of Karnataka, as the native language of 66.46% of its population as of 2011 and is one of the classical languages of India. Urdu is the second largest language, spoken by 10.83% of the population, and is the language of Muslims outside the coastal region."
Are the capital and largest city of Karnataka the same city?,"Karnataka (; ISO: Karnāṭaka, Kannada pronunciation: [kɐˈɾnäːʈɐkɐ], also known as Karunāḍu) is a state in the southwestern region of India. Its capital and largest city is Bangalore. Karnataka is bordered by the Arabian Sea to the west, Goa to the northwest, Maharashtra to the north, Telangana to the northeast, Andhra Pradesh to the east, Tamil Nadu to the southeast, and Kerala to the southwest."
What fraction of the Legislative Council does  not retire every two years?,"Government and administration Karnataka has a parliamentary system of government with two democratically elected houses, the Legislative Assembly and the Legislative Council. The Legislative Assembly consists of 224 members who are elected for five-year terms. The Legislative Council is a permanent body of 75 members with one-third (25 members) retiring every two years."
How many years was Adi Shankaracharya's lifespan?,"Religion Adi Shankaracharya (788–820) chose Sringeri in Karnataka to establish the first of his four mathas (monastery). Madhvacharya (1238–1317) was the chief proponent of Tattvavada (Philosophy of Reality), popularly known as Dvaita or Dualistic school of Hindu philosophy – one of the three most influential Vedanta philosophies."
Are residents of Karnataka likely to speak Sanskrit primarily?,"Kannada, one of the classical languages of India, is the most widely spoken and official language of the state. Other minority languages spoken include Urdu, Konkani, Marathi, Tulu, Tamil, Telugu, Malayalam, Kodava and Beary. Karnataka also contains some of the only villages in India where Sanskrit is primarily spoken. Though several etymologies have been suggested for the name Karnataka, the generally accepted one is that Karnataka is derived from the Kannada words karu and nādu, meaning ""elevated land""."
Is Karnataka a state in the northwestern region of India?,"Karnataka (; ISO: Karnāṭaka, Kannada pronunciation: [kɐˈɾnäːʈɐkɐ], also known as Karunāḍu) is a state in the southwestern region of India. It was formed on 1 November 1956, with the passage of the States Reorganisation Act. Originally known as the State of Mysore , it was renamed Karnataka in 1973."
"How many inhabitants, rounded to the closest million, in India's eighth-largest state by population in 2011?","It is the sixth-largest Indian state by area. With 61,130,704 inhabitants at the 2011 census, Karnataka is the eighth-largest state by population, comprising 31 districts."
What is the ranking of the official language in Bangalore and the Kolar district if compared to the state?,"Language Kannada is the official language of the state of Karnataka, as the native language of 66.46% of its population as of 2011 and is one of the classical languages of India. Urdu is the second largest language, spoken by 10.83% of the population, and is the language of Muslims outside the coastal region."
Does Karnataka have the highest number of nationally protected monuments in India?,"Karnataka has been ranked as the fourth most popular destination for tourism among the states of India. Karnataka has the second highest number of nationally protected monuments in India, second only to Uttar Pradesh, in addition to 752 monuments protected by the State Directorate of Archaeology and Museums. Another 25,000 monuments are yet to receive protection."
Is Tamil the official language of Karnataka?,"Ugadi (Kannada New Year), Makara Sankranti (the harvest festival), Ganesh Chaturthi, Gowri Habba, Ram Navami, Nagapanchami, Basava Jayanthi, Deepavali, and Balipadyami are the other major festivals of Karnataka. Language Kannada is the official language of the state of Karnataka, as the native language of 66.46% of its population as of 2011 and is one of the classical languages of India. Urdu is the second largest language, spoken by 10.83% of the population, and is the language of Muslims outside the coastal region. Telugu (5.84%) is a major language in areas bordering Andhra Pradesh and Karnataka as well as Bangalore, while Tamil (3.45%) is a major language of Bangalore and in the Kolar district."
Which part of Karnataka are the Hindu temples found in?,"In addition, Karnataka is home to several places of religious importance. Several Hindu temples including the famous Udupi Sri Krishna Matha, the Marikamba Temple at Sirsi, the Kollur Mookambika Temple, the Sri Manjunatha Temple at Dharmasthala, Kukke Subramanya Temple, Janardhana and Mahakali Temple at Ambalpadi, Sharadamba Temple at Shringeri attract pilgrims from all over India. Most of the holy sites of Lingayatism, like Kudalasangama and Basavana Bagewadi, are found in northern parts of the state."
What type of hockey is played at the Kodava Hockey Festival?,"The annual Kodava Hockey Festival is the largest hockey tournament in the world. Bangalore has hosted a WTA tennis event and, in 1997, it hosted the fourth National Games of India."
What are the two most spoken languages in Karnataka?,"Tulu, Konkani and Kodava are other minor native languages that share a long history in the state. Some of the regional languages in Karnataka are Tulu, Kodava, Konkani and Beary. Kannada features a rich and ancient body of literature including religious and secular genre, covering topics as diverse as Jainism (such as Puranas), Lingayatism (such as Vachanas), Vaishnavism (such as Haridasa Sahitya) and modern literature. Evidence from edicts during the time of Ashoka (reigned 274–232 BCE) suggest that Buddhist literature influenced the Kannada script and its literature."
What is the four seasons of Karnataka?,"Climate Karnataka experiences four seasons. The winter in January and February is followed by summer between March and May, the monsoon season between June and September and the post-monsoon season from October till December. Meteorologically, Karnataka is divided into three zones – coastal, north interior and south interior."
What are the capitals of the two kingdoms that used Kannada in administration?,"The decline of Satavahana power led to the rise of the earliest native kingdoms, the Kadambas and the Western Gangas, marking the region's emergence as an independent political entity. The Kadamba Dynasty, founded by Mayurasharma, had its capital at Banavasi; the Western Ganga Dynasty was formed with Talakad as its capital. These were also the first kingdoms to use Kannada in administration, as evidenced by the Halmidi inscription and a fifth-century copper coin discovered at Banavasi. These dynasties were followed by imperial Kannada empires such as the Badami Chalukyas, the Rashtrakuta Empire of Manyakheta and the Western Chalukya Empire, which ruled over large parts of the Deccan and had their capitals in what is now Karnataka."
Does Karnataka rank in the top 20 Indian states for Human Development Index?,"The economy of Karnataka is the sixth-largest of any Indian state with ₹16.65 trillion (US$210 billion) in gross domestic product and a per capita GDP of ₹226,000 (US$2,800). Karnataka has the nineteenth-highest ranking among Indian states in Human Development Index. History Karnataka's pre-history goes back to a paleolithic hand-axe culture evidenced by discoveries of, among other things, hand axes and cleavers in the region."
What Indian state does the Puandara Dasa originate from?,"Karnataka is bordered by the Arabian Sea to the west, Goa to the northwest, Maharashtra to the north, Telangana to the northeast, Andhra Pradesh to the east, Tamil Nadu to the southeast, and Kerala to the southwest. With 61,130,704 inhabitants at the 2011 census, Karnataka is the eighth-largest state by population, comprising 31 districts. Kannada, one of the classical languages of India, is the most widely spoken and official language of the state. Other minority languages spoken include Urdu, Konkani, Marathi, Tulu, Tamil, Telugu, Malayalam, Kodava and Beary. Karnataka also contains some of the only villages in India where Sanskrit is primarily spoken."
What was Vayu's first incarnation?,"According to tradition, Madhvacharya is believed to be the third incarnation of Vayu (Mukhyaprana), after Hanuman and Bhima. The Haridasa devotional movement is considered one of the turning points in the cultural history of India. Over a span of nearly six centuries, several saints and mystics helped shape the culture, philosophy, and art of South India and Karnataka in particular by exerting considerable spiritual influence over the masses and kingdoms that ruled South India."
Does Karnataka have a very rich set of cultural communities?,"The diverse linguistic and religious ethnicities that are native to Karnataka, combined with their long histories, have contributed immensely to the varied cultural heritage of the state. Apart from Kannadigas, Karnataka is home to Tuluvas, Kodavas and Konkanis. Minor populations of Tibetan Buddhists and tribes like the Soligas, Yeravas, Todas and Siddhis also live in Karnataka."
Does Karnataka have a larger GDP or economy?,"The economy of Karnataka is the sixth-largest of any Indian state with ₹16.65 trillion (US$210 billion) in gross domestic product and a per capita GDP of ₹226,000 (US$2,800). Karnataka has the nineteenth-highest ranking among Indian states in Human Development Index. History Karnataka's pre-history goes back to a paleolithic hand-axe culture evidenced by discoveries of, among other things, hand axes and cleavers in the region."
"According to the 2011 census of India, how many percent more males than females in Karnataka were literate?","The Kannada Sahitya Parishat and the Kannada Sahitya Akademi are responsible for the promotion of Kannada while the Karnataka Konkani Sahitya Akademi, the Tulu Sahitya Akademi and the Kodava Sahitya Akademi promote their respective languages. Education As per the 2011 census, Karnataka had a literacy rate of 75.60%, with 82.85% of males and 68.13% of females in the state being literate. The Indian Institute of Science and Manipal Academy of Higher Education were ranked within the top 10 universities of India by NIRF 2020."
What port handled 32.04 million tonnes of traffic in the fiscal year 2006-07? ,"Karnataka has 11 ports, including the New Mangalore Port, a major port and ten minor ports, of which three were operational in 2012. The New Mangalore port was incorporated as the ninth major port in India on 4 May 1974. This port handled 32.04 million tonnes of traffic in the fiscal year 2006–07 with 17.92 million tonnes of imports and 14.12 million tonnes of exports."
Are there more men or women in Karnataka?,"There are 31 districts in Karnataka. Demographics According to the 2011 census of India, the total population of Karnataka was 61,095,297 of which 30,966,657 (50.7%) were male and 30,128,640 (49.3%) were female, or 1000 males for every 973 females. This represents a 15.60% increase over the population in 2001."
Does Karnataka take up more than 6 percent of the India area?,"It is the only southern state to have land borders with all of the other four southern Indian sister states. The state covers an area of 191,791 square kilometres (74,051 sq mi), or 5.83 percent of the total geographical area of India. It is the sixth-largest Indian state by area."
Is Urdu the largest language in Karnataka?,"Less widely spoken languages include Beary bashe and certain languages such as Sankethi. Some of the regional languages in Karnataka are Tulu, Kodava, Konkani and Beary. Kannada features a rich and ancient body of literature including religious and secular genre, covering topics as diverse as Jainism (such as Puranas), Lingayatism (such as Vachanas), Vaishnavism (such as Haridasa Sahitya) and modern literature."
What empire was in power when the Vesara style of architecture was used for temples and sculplures? ,"These dynasties were followed by imperial Kannada empires such as the Badami Chalukyas, the Rashtrakuta Empire of Manyakheta and the Western Chalukya Empire, which ruled over large parts of the Deccan and had their capitals in what is now Karnataka. The Western Chalukyas patronised a unique style of architecture and Kannada literature which became a precursor to the Hoysala art of the 12th century. Literature flourished during this time, which led to the emergence of distinctive Kannada literary metres, and the construction of temples and sculptures adhering to the Vesara style of architecture."
What kingdoms were proved by the Halmidi inscription to be the first to use Kannada in administration?,"The decline of Satavahana power led to the rise of the earliest native kingdoms, the Kadambas and the Western Gangas, marking the region's emergence as an independent political entity. The Kadamba Dynasty, founded by Mayurasharma, had its capital at Banavasi; the Western Ganga Dynasty was formed with Talakad as its capital. These were also the first kingdoms to use Kannada in administration, as evidenced by the Halmidi inscription and a fifth-century copper coin discovered at Banavasi. These dynasties were followed by imperial Kannada empires such as the Badami Chalukyas, the Rashtrakuta Empire of Manyakheta and the Western Chalukya Empire, which ruled over large parts of the Deccan and had their capitals in what is now Karnataka."
What season do monsoons occur the most frequently in Karnataka?,"Climate Karnataka experiences four seasons. The winter in January and February is followed by summer between March and May, the monsoon season between June and September and the post-monsoon season from October till December. Meteorologically, Karnataka is divided into three zones – coastal, north interior and south interior. Of these, the coastal zone receives the heaviest rainfall with an average rainfall of about 3,638.5 mm (143 in) per annum, far in excess of the state average of 1,139 mm (45 in)."
Which team has the won the Ranji trophy the most times?,"The state cricket team has won the Ranji Trophy seven times, second only to Mumbai in terms of success. Chinnaswamy Stadium in Bangalore regularly hosts international Cricket matches and is also the home of the National Cricket Academy, which was opened in 2000 to nurture potential international players."
Does Belgaum airport have interntional operations?,"Karnataka has airports at Bangalore, Mangalore, Belgaum, Hubli, Hampi, Bellary, Gulbarga, and Mysore with international operations from Bangalore and Mangalore airports. Shimoga and Bijapur airports are being built under the UDAN Scheme."
Is Karnataka's unemployment rate more than the national average?,"In an employment survey conducted for the year 2013–2014, the unemployment rate in Karnataka was 1.8% compared to the national rate of 4.9%. In 2011–2012, Karnataka had an estimated poverty ratio of 20.91% compared to the national ratio of 21.92%."
Does Karnataka have less nationally protected monuments than Uttar Pradesh?,"Karnataka has been ranked as the fourth most popular destination for tourism among the states of India. Karnataka has the second highest number of nationally protected monuments in India, second only to Uttar Pradesh, in addition to 752 monuments protected by the State Directorate of Archaeology and Museums. Another 25,000 monuments are yet to receive protection."
Who was Tipu Sultan's father?,"After his death, the kingdom was inherited by his son Tipu Sultan. To contain European expansion in South India, Haidar Ali and later Tipu Sultan fought four significant Anglo-Mysore Wars, the last of which resulted in Tippu Sultan's death and the incorporation of Mysore into the British Raj in 1799."
Is pollution threatening animals in Karnataka?,"Some species of trees found in Karnataka are Callophyllum tomentosa, Callophyllum wightianum, Garcina cambogia, Garcina morealla, Alstonia scholaris, Flacourtia montana, Artocarpus hirsutus, Artocarpus lacoocha, Cinnamomum zeylanicum, Grewia tilaefolia, Santalum album, Shorea talura, Emblica officinalis, Vitex altissima and Wrightia tinctoria. Wildlife in Karnataka is threatened by poaching, habitat destruction, human-wildlife conflict and pollution."
How many unprotected monuments are in Karnataka?,"Wildlife in Karnataka is threatened by poaching, habitat destruction, human-wildlife conflict and pollution. Karnataka has the second highest number of nationally protected monuments in India, second only to Uttar Pradesh, in addition to 752 monuments protected by the State Directorate of Archaeology and Museums. Another 25,000 monuments are yet to receive protection."
Do Karnataka's public health services satisfy the entire state?,"Karnataka has also established a modicum of public health services having a better record of health care and child care than most other states of India. In spite of these advances, some parts of the state still suffer from the lack of primary health care. Government and administration Karnataka has a parliamentary system of government with two democratically elected houses, the Legislative Assembly and the Legislative Council."
What is the highest civilian award bestowed  by the Government of Karnataka?,"Many of them, including two of India's biggest software firms, Infosys and Wipro, are also headquartered in the state. All this has earned the state capital, Bangalore, the sobriquet Silicon Valley of India. Seven of India's banks, Canara Bank, Syndicate Bank, Corporation Bank, Vijaya Bank, Karnataka Bank, ING Vysya Bank and the State Bank of Mysore originated in this state. The coastal districts of Udupi and Dakshina Kannada have a branch for every 500 persons—the best distribution of banks in India."
Is Karnataka the largest state in India by area?,"It is the sixth-largest Indian state by area. With 61,130,704 inhabitants at the 2011 census, Karnataka is the eighth-largest state by population, comprising 31 districts."
Which state has the second-largest arid region in India?,"It is the sixth-largest Indian state by area. With 61,130,704 inhabitants at the 2011 census, Karnataka is the eighth-largest state by population, comprising 31 districts."
Does Karnataka have more nationally protected monuments than Uttar Pradesh?,"Karnataka has been ranked as the fourth most popular destination for tourism among the states of India. Karnataka has the second highest number of nationally protected monuments in India, second only to Uttar Pradesh, in addition to 752 monuments protected by the State Directorate of Archaeology and Museums. Another 25,000 monuments are yet to receive protection."
What empire fell in the Battle of Tolikota?,"In 1565, Karnataka and the rest of South India experienced a major geopolitical shift when the Vijayanagara empire fell to a confederation of Islamic sultanates in the Battle of Talikota. The Bijapur Sultanate, which had risen after the demise of the Bahmani Sultanate of Bidar, soon took control of the Deccan; it was defeated by the Moghuls in the late 17th century."
Do more people speak Urdu or Tamil in Karnataka?,"Urdu is the second largest language, spoken by 10.83% of the population, and is the language of Muslims outside the coastal region. Telugu (5.84%) is a major language in areas bordering Andhra Pradesh and Karnataka as well as Bangalore, while Tamil (3.45%) is a major language of Bangalore and in the Kolar district."
"According to the 2011 census of India, were there more males or females in Karnataka being literate?","The Kannada Sahitya Parishat and the Kannada Sahitya Akademi are responsible for the promotion of Kannada while the Karnataka Konkani Sahitya Akademi, the Tulu Sahitya Akademi and the Kodava Sahitya Akademi promote their respective languages. As per the 2011 census, Karnataka had a literacy rate of 75.60%, with 82.85% of males and 68.13% of females in the state being literate. The Indian Institute of Science and Manipal Academy of Higher Education were ranked within the top 10 universities of India by NIRF 2020. The state is home to some of the premier educational and research institutions of India such as the Indian Institute of Management – Bangalore, the Indian Institute of Technology – Dharwad the National Institute of Mental Health and Neurosciences – Bangalore, the National Institute of Technology Karnataka – Surathkal and the National Law School of India University – Bangalore."
Did Karnataka contribute more than 10% to India's GDP?,"Karnataka's contribution to India's GDP in the year 2014–15 was 7.54%. With GDP growth of 17.59% and per capita GDP growth of 16.04%, Karnataka is on the 6th position among all states and union territories."
Is Karnataka home to India's second-largest arid region?,"The winter in January and February is followed by summer between March and May, the monsoon season between June and September and the post-monsoon season from October till December. Meteorologically, Karnataka is divided into three zones – coastal, north interior and south interior. Of these, the coastal zone receives the heaviest rainfall with an average rainfall of about 3,638.5 mm (143 in) per annum, far in excess of the state average of 1,139 mm (45 in)."
"What is the difference, rounded to the closest integer, between the highest and lowest recorded temperature in degrees C?","Agumbe in Thirthahalli taluka and Hulikal of Hosanagara taluka in Shimoga district were the rainiest cities in Karnataka, situated in one of the wettest regions in the world. The highest recorded temperature was 45.6 °C (114 °F) in Raichuru district. The lowest recorded temperature was 2.8 °C (37 °F) at Bidar district."
Did the population of India increase or decrease from 2001 to 2011?,"Demographics According to the 2011 census of India, the total population of Karnataka was 61,095,297 of which 30,966,657 (50.7%) were male and 30,128,640 (49.3%) were female, or 1000 males for every 973 females. This represents a 15.60% increase over the population in 2001. The population density was 319 per km2 and 38.67% of the people lived in urban areas."
How many bird sanctuaries are there in Karnataka?,"Karnataka has 25 wildlife sanctuaries and five national parks. Popular among them are Bandipura National Park, Bannerghatta National Park and Nagarhole National Park."
